Floor,Kitchen type,Bedrooms,Bathrooms,Toilets,Office,Armored door,Primary energy consumption,Energy class,CO₂ emission,Heating type,Heat pump,Thermic solar panels,Double glazing,Monthly rental price,Monthly costs,Tenement building,price,listing_type,Number of floors,Number of frontages,Living area,Living room surface,Bedroom 1 surface,Bedroom 2 surface,Furnished,Terrace surface,Intercom,Visio phone,agency,Construction year,Building condition,Basement,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Available as of,Kitchen surface,Shower rooms,Surroundings type,Zip_Code,State_Name
2.0,Installed,2.0,1.0,1.0,,,208.0,D,44.0,Gas,No,No,No,1195.0,,No,,Apartment for rent,3.0,2.0,100.0,42.0,,,No,20.0,,,LIKE HOME,1920.0,,,,,,,,,,,,1180,Uccle
2.0,USA hyper equipped,2.0,1.0,2.0,No,Yes,,Not specified,,Gas,No,No,Yes,2450.0,180.0,No,2630.0,Apartment for rent,,2.0,145.0,,,,,,No,No,,,,,Yes,Yes,Yes,No,No,Immediately,,1.0,Landscape,1180,Uccle
,Installed,2.0,1.0,2.0,,,,Not specified,,Gas,No,No,Yes,2200.0,225.0,No,2425.0,Apartment for rent,,2.0,110.0,,,,No,,,,A.G.P. Immobilière,2022.0,,Yes,Yes,,,,,,,2.0,,1180,Uccle
2.0,USA installed,1.0,1.0,1.0,No,No,1352.0,G,,Electric,No,No,Yes,800.0,,No,,Apartment for rent,3.0,2.0,63.0,25.0,16.0,,,,Yes,No,,,Good,,No,No,No,No,No,,,,,1180,Uccle
1.0,USA hyper equipped,1.0,1.0,1.0,,,,Not specified,,Gas,,,,1100.0,80.0,No,1180.0,Loft for rent,4.0,2.0,90.0,,14.0,,,9.0,,,FullHouse,,As new,,,,,,,Immediately,,1.0,,1180,Uccle
,,3.0,2.0,,No,No,,Not specified,,,No,No,No,2800.0,,No,,House for rent,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,1180,Uccle
1.0,,,,,No,No,,Not specified,,Gas,Yes,No,No,470.0,,No,,Apartment for rent,,,,,,,Yes,,No,No,,,,,No,No,No,Yes,No,Immediately,,,,1180,Uccle
,Installed,3.0,,2.0,,,,Not specified,,Gas,,,Yes,1400.0,,No,,House for rent,,2.0,120.0,30.0,14.0,12.0,No,10.0,,,MEGANCK INVEST GESTION SPRL,1960.0,Good,,,,,,,,10.0,,"Living area (residential, urban or rural)",1180,Uccle
,Hyper equipped,1.0,,1.0,,Yes,246.0,E,59.0,Fuel oil,No,No,Yes,900.0,100.0,No,1000.0,Ground floor for rent,4.0,2.0,75.0,24.0,15.0,,No,35.0,,,COUET & ASSOCIES,1960.0,,,Yes,,,,,Immediately,,1.0,,1180,Uccle
10.0,Hyper equipped,3.0,1.0,3.0,,,,Not specified,42.0,Gas,No,No,No,4420.0,510.0,No,4930.0,Penthouse for rent,10.0,3.0,180.0,,,,Yes,200.0,,,GO INVEST Uccle,1970.0,,,,,,,,,,2.0,,1180,Uccle
7.0,Hyper equipped,3.0,2.0,3.0,,,93.0,B,25.0,Gas,,,Yes,2500.0,150.0,No,2650.0,Apartment for rent,9.0,,145.0,45.0,,,No,26.0,Yes,Yes,Sodefi,,As new,Yes,Yes,Yes,Yes,Yes,,Immediately,,,"Living area (residential, urban or rural)",1180,Uccle
,,2.0,,2.0,Yes,Yes,,Not specified,,Gas,No,No,Yes,1550.0,60.0,No,1610.0,Duplex for rent,3.0,2.0,124.0,25.0,60.0,,,20.0,Yes,No,,1935.0,Just renovated,,No,No,No,Yes,No,Immediately,30.0,1.0,"Living area (residential, urban or rural)",1180,Uccle
7.0,Installed,2.0,1.0,1.0,,,282.0,F,83.0,Gas,,,Yes,800.0,170.0,No,970.0,Apartment for rent,9.0,,74.0,,14.0,12.0,No,12.0,Yes,,CEGI sprl,,,Yes,Yes,,,Yes,,,,,"Living area (residential, urban or rural)",1180,Uccle
6.0,,1.0,1.0,2.0,,,,Not specified,,Gas,No,No,No,1380.0,175.0,No,1555.0,Apartment for rent,6.0,2.0,100.0,40.0,15.0,,Yes,10.0,Yes,Yes,IMMO FADAN,,,,Yes,,,,,,,,,1180,Uccle
,,2.0,2.0,,,,251.0,E,50.0,,,,,1950.0,,No,,Penthouse for rent,,,130.0,,,,,10.0,,,PIERRE & PATRIMOINE,,Just renovated,,,,,,,Immediately,,,,1180,Uccle
3.0,Installed,2.0,1.0,2.0,No,Yes,,Not specified,,,No,No,No,1280.0,,No,,Duplex for rent,3.0,,,,16.0,10.0,,9.0,Yes,No,,,Good,Yes,No,No,No,Yes,No,,,,,1180,Uccle
1.0,Installed,2.0,1.0,1.0,No,No,,Not specified,,Gas,No,No,Yes,1300.0,150.0,No,1450.0,Apartment for rent,,2.0,100.0,40.0,15.0,15.0,,,Yes,Yes,,,Just renovated,Yes,Yes,Yes,No,Yes,No,Immediately,10.0,,,1180,Uccle
5.0,Installed,3.0,2.0,1.0,,Yes,456.0,G,91.0,Gas,,,Yes,1400.0,,No,,Penthouse for rent,5.0,2.0,92.0,35.0,14.0,7.0,No,29.0,Yes,,Nexity (Lamy) Belgium,,As new,Yes,Yes,No,,,No,Immediately,9.0,1.0,Isolated,1180,Uccle
6.0,Installed,,,,No,No,,Not specified,,,No,No,Yes,755.0,130.0,No,885.0,Studio for rent,6.0,,,,,,,4.0,No,No,,,,,Yes,No,No,No,No,Immediately,,,,1180,Uccle
4.0,Installed,,1.0,1.0,No,No,,Not specified,,,No,No,Yes,650.0,150.0,No,800.0,Studio for rent,4.0,2.0,47.0,,,,,4.0,Yes,No,,,,,Yes,No,No,Yes,No,Immediately,8.0,,"Living area (residential, urban or rural)",1180,Uccle
1.0,USA hyper equipped,2.0,,1.0,,,,Not specified,,Gas,,,Yes,1450.0,,No,,Apartment for rent,,,,,,,No,,,,Century 21 Excellent,,Just renovated,Yes,,,,,,Immediately,,1.0,,1180,Uccle
1.0,,1.0,1.0,2.0,No,No,,Not specified,,,No,No,No,1190.0,25.0,No,1215.0,Apartment for rent,,,,,25.0,,,,,,,,,,,,,,,,,,,1180,Uccle
2.0,USA hyper equipped,2.0,1.0,2.0,No,Yes,,Not specified,,Gas,No,No,Yes,1080.0,80.0,No,1160.0,Apartment for rent,,,90.0,,20.0,10.0,,,Yes,No,,,,,No,No,No,Yes,No,,10.0,1.0,Urban,1180,Uccle
1.0,Hyper equipped,3.0,2.0,1.0,,,223.0,E,47.0,Gas,No,No,No,1950.0,,No,,Duplex for rent,3.0,2.0,167.0,,,,No,27.0,,,GO INVEST Uccle,2003.0,,,,,,,,,,,,1180,Uccle
,Hyper equipped,3.0,2.0,1.0,,,223.0,E,47.0,Gas,No,No,No,1950.0,,No,,House for rent,,2.0,167.0,,,,No,27.0,,,GO INVEST Uccle,2003.0,,,,,,,,,,,,1180,Uccle
1.0,USA hyper equipped,2.0,2.0,1.0,,,241.0,E,55.0,Gas,,,,1500.0,100.0,No,1600.0,Apartment for rent,5.0,,70.0,,,,Yes,,Yes,Yes,Metropole Properties,,As new,,,,,Yes,,,,2.0,,1180,Uccle
4.0,Installed,2.0,1.0,2.0,,,152.0,D,,Gas,,,,1800.0,200.0,No,2000.0,Apartment for rent,9.0,2.0,135.0,,,,No,10.0,Yes,Yes,Metropole Properties,1970.0,As new,,,,,Yes,,Immediately,,,,1180,Uccle
2.0,,2.0,1.0,,,,233.0,E,46.0,,,,,1120.0,180.0,No,1300.0,Apartment for rent,,2.0,75.0,,,,,4.0,,,Nexity (Lamy) Belgium,,Just renovated,,,,,,,Immediately,,,,1180,Uccle
3.0,Installed,1.0,1.0,1.0,,,,Not specified,,Gas,No,No,No,890.0,,No,,Apartment for rent,3.0,2.0,50.0,20.0,15.0,,No,20.0,,,IMMO FADAN,,,,,,,,,,,,,1180,Uccle
3.0,Installed,1.0,,1.0,,,,Not specified,,Gas,No,No,No,800.0,160.0,No,960.0,Studio for rent,3.0,2.0,60.0,40.0,10.0,,Yes,,Yes,,IMMO FADAN,,,,,,,,,,,1.0,,1180,Uccle
1.0,,,1.0,1.0,,Yes,364.0,G,57.0,Gas,,,Yes,650.0,110.0,No,760.0,Studio for rent,8.0,2.0,45.0,28.0,,,Yes,,Yes,,Immodream,1965.0,Good,,Yes,,,Yes,,,6.0,,Urban,1180,Uccle
4.0,,1.0,1.0,1.0,,,,Not specified,,Gas,,,Yes,825.0,,No,,Apartment for rent,4.0,2.0,62.0,28.0,14.0,,,6.0,Yes,,Immodream,,Good,,Yes,,,,,Immediately,9.0,,,1180,Uccle
6.0,USA hyper equipped,1.0,1.0,1.0,No,No,,Not specified,,,No,No,No,1395.0,100.0,No,1495.0,Apartment for rent,,1.0,75.0,,,,,17.0,Yes,Yes,,2022.0,As new,Yes,Yes,Yes,No,No,No,,,,Urban,1180,Uccle
3.0,Installed,,1.0,,,,570.0,G,123.0,Gas,,,Yes,650.0,25.0,No,675.0,Studio for rent,3.0,,42.0,,,,,,Yes,,Sodefi,,Good,,,,,Yes,,Immediately,,,"Living area (residential, urban or rural)",1180,Uccle
