Title,Price,Location,Bedrooms,Bathrooms,Surface
 Maison,115 000 ,Ploegsteert,3,1,113 m²
 Maison Trois Façades,115 000 ,Chastrès,2,1,80 m²
 Maison,115 000 ,Audenbourg,4,1,165 m²
 Maison,115 000 ,Mons,2,1,140 m²
 Maison,115 000 ,Mouscron,3,1,100 m²
 Maison,115 000 ,Mouscron,3,1,131 m²
 Appartement,115 000 ,Mons,2,1,72 m²
 Villa,115 000 ,Macquenoise,3,2,115 m²
 Maison quatre façades,115 000 ,Bon-Secours,2,1,120 m²
 Maison,115 000 ,Herstal,1,1,60 m²
 Maison,115 000 ,Roulers,2,1,118 m²
 Appartement,115 000 ,Blanckenberghe,1,1,41 m²
 Maison,115 000 ,Frameries,2,1,100 m²
 Maison,115 000 ,Marchienne-Au-Pont,4,1,160 m²
 Maison,115 000 ,Jumet,1,1,60 m²
 Maison,115 000 ,Roux,1,1,60 m²
 Appartement,115 000 ,Tournai,2,1,82 m²
 Appartement,115 000 ,Charleroi,2,1,80 m²
 Maison,115 000 ,La Bouverie,4,1,127 m²
 Appartement,115 000 ,Charleroi,2,1,100 m²
 Appartement,115 000 ,Embourg,1,1,68 m²
 Appartement,115 000 ,Charleroi,2,1,100 m²
 Maison,115 000 ,Elouges,2,2,131 m²
 Maison,115 000 ,Wasmes,3,1,112 m²
 Maison,115 000 ,Tournai,2,1,90 m²
 Maison,115 000 ,Wihéries,3,1,132 m²
 Maison,115 000 ,Pironchamps,3,1,118 m²
 Maison,115 000 ,Charleroi,3,1,80 m²
 Maison,115 000 ,Estaimpuis,3,1,122 m²
 Maison,115 000 ,Andenne,2,1,70 m²
 Maison,115 000 ,Montignies-Sur-Sambre,1,1,85 m²
 Maison,115 000 ,Roux,3,1,140 m²
 Maison,115 000 ,Liège,3,1,105 m²
 Appartement,115 000 ,Sprimont,1,1,64 m²
 Maison,115 000 ,Néchin,1,1,53 m²
 Maison,115 000 ,Montignies-Sur-Sambre,3,1,159 m²
 Maison,115 000 ,Baudour,5,1,205 m²
 Appartement,115 000 ,Charleroi,2,1,80 m²
 Maison,115 000 ,Ougrée,2,1,72 m²
 Maison,115 000 ,Seraing,4,1,120 m²
 Maison,115 000 ,Frameries,3,1,156 m²
 Appartement,115 000 ,Tubize,1,1,60 m²
 Maison,115 000 ,Tubize,1,1,60 m²
 Maison,115 000 ,Mouscron,2,2,120 m²
 Maison Trois Façades,115 000 ,Audenarde,3,1,120 m²
 Appartement,116 000 ,Roulers,2,1,75 m²
 Appartement,117 000 ,Tournai,1,1,63 m²
 Maison,117 000 ,Seraing,3,1,105 m²
 Maison,117 000 ,Goegnies-Chaussée,3,1,97 m²
 Appartement,117 000 ,Blaton,2,1,85 m²
 Maison Trois Façades,117 000 ,Herstal,2,1,116 m²
 Maison Trois Façades,117 500 ,Gosselies,2,1,155 m²
 Maison,117 500 ,Pepinster,3,2,151 m²
 Maison,117 500 ,Jemeppe-Sur-Meuse,3,2,175 m²
 Appartement,118 000 ,Charleroi,3,1,136 m²
 Appartement,118 000 ,Couillet,2,1,117 m²
 Maison,118 000 ,Pecq,2,1,90 m²
 Appartement,118 000 ,Tournai,1,1,47 m²
 Appartement,119 000 ,Tournai,1,1,55 m²
 Maison quatre façades,119 000 ,Vleteren,3,1,177 m²
 Maison,119 000 ,Hornu,3,1,146 m²
 Maison,119 000 ,Mouscron,4,2,152 m²
 Appartement,119 000 ,Comines,3,1,96 m²
 Maison,119 000 ,Vaux-Sous-Chèvremont,2,1,110 m²
 Maison,119 000 ,Tournai,2,1,137 m²
 Maison,119 000 ,Mouscron,2,1,130 m²
 Appartement,119 000 ,Blanckenberghe,1,1,30 m²
 Appartement,119 000 ,Middelkerke,1,1,49 m²
 Appartement,119 000 ,La Panne,1,1,37 m²
